,,,,,,,,
16510,2016-05-16,2016-11-16,,,,,,
16511,2016-05-16,2016-11-16,,,,,,
16512,2016-05-16,2016-11-16,,,,,,
16513,2016-05-16,2016-11-16,,,,,,
16514,2016-05-16,2016-11-16,,,,,,
16516,2016-05-17,2016-11-17,,,,,,
16518,2016-05-17,2017-05-17,,,,,,
16519,2016-05-17,2017-05-17,,,,,,
16520,2016-05-17,2017-05-17,,,,,,
16521,2016-05-18,2016-11-18,,,,,,
16523,2016-05-18,2016-11-18,,,,,,
16524,2016-05-18,2017-05-18,,,,,,
16525,2016-05-18,2017-05-18,,,,,,
16528,2016-05-20,2016-11-20,,,,,,
16529,2016-05-20,2016-11-20,,,,,,
16530,2016-05-21,2016-11-21,,,,,,
16531,2016-05-20,2017-05-20,,,,,,
16533,2016-05-21,2016-11-21,,,,,,
16534,2016-05-23,2017-05-23,,,,,,
16538,2016-05-23,2016-11-23,,,,,,
16539,2016-05-23,2017-05-23,,,,,,
16541,2016-05-23,2016-11-23,,,,,,
16542,2016-05-23,2017-05-23,,,,,,
16543,2016-05-23,2016-11-23,,,,,,
16547,2016-05-24,2016-11-24,,,,,,
16548,2016-05-24,2016-11-24,,,,,,
16550,2016-05-24,2016-11-24,,,,,,
16552,2016-05-25,2016-11-25,,,,,,
16553,2016-05-25,2017-05-25,,,,,,
16554,2016-05-25,2016-11-25,,,,,,
16555,2016-05-25,2016-11-25,,,,,,
16556,2016-05-25,2016-11-25,,,,,,
16557,2016-05-25,2016-11-25,,,,,,
16558,2016-05-26,2016-11-26,,,,,,
16559,2016-05-26,2016-11-26,,,,,,
16560,2016-05-26,2016-11-26,,,,,,
16561,2016-05-26,2017-05-26,,,,,,
16562,2016-05-26,2016-11-26,,,,,,
16563,2016-05-26,2017-05-26,,,,,,
16564,2016-05-26,2016-11-26,,,,,,
16565,2016-05-26,2016-11-26,,,,,,
16566,2016-05-27,2016-11-27,,,,,,
16567,2016-05-27,2017-05-27,,,,,,
16569,2016-05-27,2016-11-27,,,,,,
16570,2016-05-27,2016-11-27,,,,,,
16571,2016-05-27,2016-11-27,,,,,,
16573,2016-05-28,2016-11-28,,,,,,
16574,2016-05-28,2016-11-28,,,,,,
16576,2016-05-30,2016-11-30,,,,,,
16579,2016-05-30,2016-11-30,,,,,,
16580,2016-05-30,2017-05-30,,,,,,
16581,2016-05-30,2017-05-30,,,,,,
16583,2016-05-30,2016-11-30,,,,,,
16584,2016-05-30,2016-11-30,,,,,,
16585,2016-05-30,2016-11-30,,,,,,
16586,2016-05-30,2016-11-30,,,,,,
16587,2016-05-30,2016-11-30,,,,,,
16588,2016-05-30,2016-11-30,,,,,,
16590,2016-05-30,2016-11-30,,,,,,
16591,2016-05-31,2017-05-31,,,,,,
16593,2016-05-31,31-11-2016,,,,,,
16594,2016-05-31,31-11-2016,,,,,,
16595,2016-05-31,31-11-2017,,,,,,
16596,2016-06-01,2017-12-01,,,,,,
16597,2016-06-01,2017-06-01,,,,,,
16598,2016-06-01,2017-06-01,,,,,,
16599,2016-06-01,2016-06-01,,,,,,
16600,2016-06-01,2016-12-01,,,,,,
16601,2016-06-02,2016-12-02,,,,,,
16602,2016-06-02,2016-12-02,,,,,,
16603,2016-06-02,2016-12-02,,,,,,
16604,2016-06-02,2016-12-02,,,,,,
16605,2016-06-02,2016-12-02,,,,,,
16606,2016-06-02,2016-12-02,,,,,,
16607,2016-06-02,2016-12-02,,,,,,
16608,2016-06-02,2016-12-02,,,,,,
16610,2016-06-02,2016-12-02,,,,,,
16611,2016-06-03,2017-06-03,,,,,,
16614,2016-06-04,2016-12-04,,,,,,
16615,2016-06-04,2016-12-04,,,,,,
16616,2016-06-04,2016-12-04,,,,,,
16617,2016-06-04,2016-12-04,,,,,,
16618,2016-06-04,2016-12-04,,,,,,
16619,2016-06-04,2017-06-04,,,,,,
16620,2016-06-04,2016-12-04,,,,,,
16621,2016-06-06,2016-12-06,,,,,,
16622,2016-06-06,2017-06-06,,,,,,
16623,2016-06-06,2016-12-06,,,,,,
16624,2016-06-06,2016-12-06,,,,,,
16625,2016-06-06,2017-06-06,,,,,,
16626,2016-06-06,2016-12-06,,,,,,
16627,2016-06-06,2016-12-06,,,,,,
16628,2016-06-06,2016-12-06,,,,,,
16629,2016-06-06,2016-12-06,,,,,,
16630,2016-06-07,2016-12-07,,,,,,
16631,2016-06-07,2016-12-07,,,,,,
16632,2016-06-07,2016-12-07,,,,,,
16633,2016-06-08,2016-12-08,,,,,,
16634,2016-06-08,2017-06-08,,,,,,
16636,2016-06-08,2016-12-08,,,,,,
16638,2016-06-08,2016-12-08,,,,,,
16640,2016-06-08,2016-12-08,,,,,,
16642,2016-06-09,2016-12-09,,,,,,
16643,2016-06-10,2017-06-10,,,,,,
16644,2016-06-11,2016-12-11,,,,,,
16645,2016-06-13,2016-12-13,,,,,,
16646,2016-06-13,2016-12-13,,,,,,
16648,2016-06-13,2016-12-13,,,,,,
16651,2016-06-13,2016-12-13,,,,,,
16652,2016-06-13,2016-12-13,,,,,,
16653,2016-06-14,2016-12-14,,,,,,
16654,2016-06-14,2016-12-14,,,,,,
16655,2016-06-14,2016-12-14,,,,,,
16656,2016-06-14,2016-12-14,,,,,,
